factor,trade_date,portfolio_return,turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight,benchmark_return,excess_return
Grouped8_Equal,20260313,-0.013584584463914185,0.0,0,0,0,0.0,-0.009398670061895098,-0.004185914402019087
Grouped8_Equal,20260316,-0.000942555837107638,0.0,1,1,0,0.0,-0.0005767238244730466,-0.00036583201263459136
Grouped8_Equal,20260317,-0.020209452653814505,0.0,2,2,0,0.0,-0.015585145247337229,-0.0046243074064772766
Grouped8_Equal,20260318,0.015124702257146646,0.0,2,2,0,0.0,0.008046650833564595,0.0070780514235820515
Grouped8_Equal,20260319,-0.024874158145015934,0.0,2,2,0,0.0,-0.021110118851519477,-0.0037640392934964566
Grouped8_Equal,20260320,-0.023548697603520824,0.0,2,2,0,0.0,-0.01213640923930892,-0.011412288364211903
Grouped8_Equal,20260323,-0.0523107448069707,0.0,2,2,0,0.0,-0.0406438483530025,-0.0116668964539682
Grouped8_Equal,20260324,0.03332341140404158,0.0,4,4,0,0.0,0.021021217306611772,0.01230219409742981
Grouped8_Equal,20260325,0.020852621347720163,0.0,4,4,0,0.0,0.017946256443898356,0.002906364903821807
Grouped8_Equal,20260326,-0.016014913008650787,0.0,5,5,0,0.0,-0.014575852965169722,-0.001439060043481065
Grouped8_Equal,20260327,0.011646101552488956,0.0,6,6,0,0.0,0.01028938980255667,0.0013567117499322864
Grouped8_Equal,20260330,0.004402869708097906,0.0,5,5,0,0.0,0.0005074796341586474,0.0038953900739392587
Grouped8_Equal,20260331,-0.015829649480711225,0.0,3,3,0,0.0,-0.013986247077847902,-0.0018434024028633235
Grouped8_Equal,20260401,0.018888899346089408,0.0,3,3,0,0.0,0.017841868894357793,0.0010470304517316148
Grouped8_Equal,20260402,-0.01429665530783335,0.36224976167778833,0,0,0,0.0,-0.01448548504423619,0.00018882973640284122
Grouped8_Equal,20260403,-0.018751322215628936,0.0,1,1,0,0.0,-0.011765871825486385,-0.006985450390142551
Grouped8_Equal,20260407,0.013054764936577016,0.0,1,1,0,0.0,0.005397127646642685,0.00765763728993433
Grouped8_Equal,20260408,0.03939318071122937,0.0,1,1,0,0.0,0.0407027757043954,-0.0013095949931660328
Grouped8_Equal,20260409,-0.006461768238548649,0.0,1,1,0,0.0,-0.006550487674626293,8.871943607764374e-05
Grouped8_Equal,20260410,0.006072419698624825,0.0,1,1,0,0.0,0.011629282998006696,-0.00555686329938187
