path,before_exists,after_exists,before_size,after_size,before_mtime_ns,after_mtime_ns,unchanged
database/data/bronze/adj_factor/adj_factor-274125490ca5.parquet,True,True,57118,57118,1783445458102835800,1783445458102835800,True
database/data/bronze/adj_factor/adj_factor-27e67665b85f.parquet,True,True,45022,45022,1783444794557450200,1783444794557450200,True
database/data/bronze/adj_factor/adj_factor-281c8b0a6a77.parquet,True,True,42262,42262,1783444672254781100,1783444672254781100,True
database/data/bronze/adj_factor/adj_factor-282934a4be3b.parquet,True,True,56899,56899,1783445427987363400,1783445427987363400,True
database/data/bronze/adj_factor/adj_factor-2886fdf5b576.parquet,True,True,49692,49692,1783445066112838300,1783445066112838300,True
database/data/bronze/adj_factor/adj_factor-288aee5948a5.parquet,True,True,49094,49094,1783445018471194500,1783445018471194500,True
database/data/bronze/adj_factor/adj_factor-288eba4a0c19.parquet,True,True,53546,53546,1783445210092755600,1783445210092755600,True
database/data/bronze/adj_factor/adj_factor-28e2740e5733.parquet,True,True,57195,57195,1783445459340443200,1783445459340443200,True
database/data/bronze/adj_factor/adj_factor-28e95ee31d46.parquet,True,True,48658,48658,1783444982489037500,1783444982489037500,True
database/data/bronze/adj_factor/adj_factor-292d19418f3a.parquet,True,True,48925,48925,1783445004751408600,1783445004751408600,True
database/data/bronze/adj_factor/adj_factor-294349daaaa2.parquet,True,True,50143,50143,1783444844532897900,1783444844532897900,True
database/data/bronze/adj_factor/adj_factor-296f0d6e8514.parquet,True,True,54046,54046,1783445264987269300,1783445264987269300,True
database/data/bronze/adj_factor/adj_factor-298410841232.parquet,True,True,49682,49682,1783445065689212200,1783445065689212200,True
database/data/bronze/adj_factor/adj_factor-29866ac79280.parquet,True,True,54094,54094,1783445266235620500,1783445266235620500,True
database/data/bronze/adj_factor/adj_factor-29918893ec13.parquet,True,True,56672,56672,1783445383850737700,1783445383850737700,True
database/data/bronze/adj_factor/adj_factor-29a2ba1d5f00.parquet,True,True,56485,56485,1783445338230126400,1783445338230126400,True
database/data/bronze/adj_factor/adj_factor-29bdb55e7d12.parquet,True,True,45240,45240,1783444803329389400,1783444803329389400,True
database/data/bronze/adj_factor/adj_factor-29c2e3a9add0.parquet,True,True,41188,41188,1783444641138929800,1783444641138929800,True
database/data/bronze/adj_factor/adj_factor-29c5f2770f14.parquet,True,True,48853,48853,1783444988055997800,1783444988055997800,True
database/data/bronze/adj_factor/adj_factor-29ca1fca43af.parquet,True,True,51242,51242,1783444888003685600,1783444888003685600,True
